PIN,Address,Sq. Ft.,Ward,Community Area Name,Zoning Classification,Location
20-16-113-023-0000,5710 S UNION AVE,0,20,ENGLEWOOD,RS-3,"(41.79033289, -87.64276683)"
20-16-126-003-0000,519 W 58TH PL,0,20,ENGLEWOOD,M1-2,"(41.78780162, -87.63858875)"
20-16-306-032-0000,5928 S STEWART AVE,0,20,ENGLEWOOD,RS-3,"(41.78628099, -87.63562664)"
20-17-409-007-0000,6019 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.78448637, -87.65306478)"
20-17-407-032-0000,5950 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78548623, -87.64529587)"
20-16-209-011-0000,336 W 58TH ST,0,20,ENGLEWOOD,RS-3,"(41.78909707, -87.63436576)"
20-17-212-007-0000,5619 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.79182603, -87.64960398)"
20-28-102-034-0000,7152 S LOWE AVE,0,6,ENGLEWOOD,RT-4,"(41.76363756, -87.64044821)"
20-17-402-043-0000,5948 S CARPENTER ST,3117,16,ENGLEWOOD,RS-3,"(41.78546224, -87.65136194)"
20-21-325-006-0000,7018 S PARNELL AVE,2001,6,ENGLEWOOD,RT-4,"(41.7664619, -87.63873686)"
20-16-102-060-0000,5542 S LOWE AVE,0,20,ENGLEWOOD,RS-3,"(41.7927271, -87.64181688)"
20-16-111-043-0000,406 W 57TH ST,0,20,ENGLEWOOD,RS-3,"(41.79108642, -87.63582837)"
20-20-202-010-0000,6318 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.77899243, -87.65241048)"
20-17-420-045-0000,6156 S SANGAMON ST,0,16,ENGLEWOOD,RS-3,"(41.7817046, -87.64882988)"
20-16-112-011-0000,5737 S HALSTED ST,0,20,ENGLEWOOD,C1-2,"(41.78957508, -87.64466938)"
20-16-306-014-0000,5939 S EGGLESTON AVE,0,20,ENGLEWOOD,RS-3,"(41.78605921, -87.63608213)"
20-17-408-041-0000,1150 W 61ST ST,0,16,ENGLEWOOD,RS-3,"(41.78351445, -87.65417279)"
20-16-205-014-0000,5619 S LA SALLE ST,0,3,ENGLEWOOD,M1-1,"(41.79222188, -87.6288651)"
20-16-315-094-0000,751 W 61ST ST,0,16,ENGLEWOOD,B2-2,"(41.78313315, -87.64417014)"
20-21-306-025-0000,6814 S EMERALD AVE,0,6,ENGLEWOOD,RT-4,"(41.76996731, -87.64360333)"
20-21-113-013-0000,6441 S NORMAL BLVD,0,20,ENGLEWOOD,RT-4,"(41.7768247, -87.63709271)"
20-17-217-053-0000,5729 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.78958853, -87.65319551)"
20-28-105-003-0000,7127 S PARNELL AVE,0,6,ENGLEWOOD,RT-4,"(41.76438658, -87.63794808)"
20-16-100-019-0000,5605 S HALSTED ST,0,20,ENGLEWOOD,C2-2,"(41.79224366, -87.64473862)"
20-17-401-043-0000,5948 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78550941, -87.65257715)"
20-16-300-002-0000,5903 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78684418, -87.64461774)"
20-21-119-030-0000,6524 S NORMAL BLVD,0,20,ENGLEWOOD,RT-4,"(41.77543025, -87.63720359)"
20-20-408-009-0000,6821 S RACINE AVE,0,16,ENGLEWOOD,RS-3,"(41.76986013, -87.65409664)"
20-20-223-027-0000,6528 S HALSTED ST,0,20,ENGLEWOOD,B3-2,"(41.77519252, -87.64503151)"
20-16-302-033-0000,5932 S STEWART AVE,0,20,ENGLEWOOD,RS-3,"(41.78673005, -87.64063758)"
20-17-415-030-0000,6048 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78377786, -87.64525226)"
20-17-423-056-0000,806 W 63RD ST,0,16,ENGLEWOOD,PD 1227,"(41.77985559, -87.64514243)"
20-16-323-022-0000,442 W ENGLEWOOD AVE,6439,20,ENGLEWOOD,RS-3,"(41.78108124, -87.63674824)"
20-16-114-030-0000,5716 S LOWE AVE,0,20,ENGLEWOOD,RS-3,"(41.79018897, -87.6417518)"
20-20-225-027-0000,6620 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.77349372, -87.65226519)"
20-17-417-016-0000,6133 S MAY ST,3108,16,ENGLEWOOD,RS-3,"(41.78227675, -87.65300907)"
20-17-407-025-0000,5920 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78628054, -87.64531627)"
20-17-404-021-0000,5947 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.78553755, -87.64944542)"
20-20-401-006-0000,6713 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.77188558, -87.65273747)"
20-20-414-002-0000,6805 S PEORIA ST,0,6,ENGLEWOOD,RS-3,"(41.77037914, -87.6466272)"
20-21-305-017-0000,426 W NORMAL PKWY NORTH,10869,6,ENGLEWOOD,RT-4,"(41.77154746, -87.63595212)"
20-20-226-037-0000,1058 W MARQUETTE RD,0,6,ENGLEWOOD,RS-3,"(41.77263075, -87.65172507)"
20-21-105-034-0000,6340 S NORMAL BLVD,6328,20,ENGLEWOOD,RT-4,"(41.77860283, -87.63784421)"
20-17-426-015-0000,6239 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78029594, -87.65174435)"
20-16-123-001-0000,5801 S LOWE AVE,0,20,ENGLEWOOD,M1-2,"(41.78851695, -87.64099239)"
20-16-101-047-0000,5540 S UNION AVE,0,20,ENGLEWOOD,RS-3,"(41.79285624, -87.64303774)"
