PIN,Address,Sq. Ft.,Ward,Community Area Name,Zoning Classification,Location
20-20-309-008-0000,6819 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.76977091, -87.66239192)"
20-18-419-038-0000,6138 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78189418, -87.6694783)"
20-19-210-020-0000,6459 S WOLCOTT AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77587152, -87.67106295)"
20-18-215-029-0000,5618 S ASHLAND AVE,0,16,WEST ENGLEWOOD,B3-2,"(41.79160365, -87.66492023)"
20-18-429-007-0000,6217 S HERMITAGE AVE,3105,15,WEST ENGLEWOOD,RS-3,"(41.78062948, -87.66753794)"
20-30-215-019-0000,7245 S MARSHFIELD AVE,0,17,WEST ENGLEWOOD,RS-2,"(41.76172559, -87.66460229)"
20-18-215-025-0000,5606 S ASHLAND AVE,0,16,WEST ENGLEWOOD,B3-2,"(41.79194662, -87.66492876)"
20-20-327-035-0000,7042 S LOOMIS BLVD,0,6,WEST ENGLEWOOD,RS-3,"(41.76548718, -87.65932988)"
20-17-109-020-0000,5651 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79073652, -87.66292567)"
20-19-215-011-0000,6427 S MARSHFIELD AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77683143, -87.66507192)"
20-19-430-030-0000,7024 S MARSHFIELD AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76590059, -87.66541164)"
20-17-408-041-0000,1150 W 61ST ST,0,16,ENGLEWOOD,RS-3,"(41.78351445, -87.65417279)"
20-20-306-011-0000,6723 S THROOP ST,,17,WEST ENGLEWOOD,RS-3,"(41.77158786, -87.65657205)"
20-19-203-002-0000,1819 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77907399, -87.66993489)"
20-19-422-030-0000,6920 S MARSHFIELD AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76778737, -87.6654627)"
20-18-406-007-0000,1641 W 59TH ST,3125,15,WEST ENGLEWOOD,RS-3,"(41.78646646, -87.66607875)"
20-20-117-028-0000,6628 S LAFLIN ST,3100,16,WEST ENGLEWOOD,RS-3,"(41.77314673, -87.66195714)"
