id,arrest,beat,block,case_number,community_area,date,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year,c_tract
0,False,0726,021XX W 63RD ST,JB108164,67,2018-01-08T00:30:00.000,TO VEHICLE,007,False,14,11198036,1320,41.779273063,"{'type': 'Point', 'coordinates': [-87.676972155, 41.779273063]}",STREET,-87.676972155,CRIMINAL DAMAGE,2018-05-04T15:51:04.000,15,1163273,1862841,2018,6705001052
1,True,0725,067XX S ASHLAND AVE,JB108470,67,2018-01-08T11:31:00.000,UNLAWFUL POSS OF HANDGUN,007,False,15,11198421,143A,41.771736514,"{'type': 'Point', 'coordinates': [-87.66400571, 41.771736514]}",STREET,-87.66400571,WEAPONS VIOLATION,2018-05-04T15:51:04.000,15,1166831,1860122,2018,6716003009
2,False,0733,070XX S MORGAN ST,JB161698,68,2018-02-22T18:39:00.000,FIRST DEGREE MURDER,007,False,01A,23836,0110,41.766103626,"{'type': 'Point', 'coordinates': [-87.64929197, 41.766103626]}",ALLEY,-87.64929197,HOMICIDE,2018-03-01T15:54:55.000,17,1170861,1858101,2018,6811003009
3,True,0725,063XX S ASHLAND AVE,JB111330,67,2018-01-10T16:58:00.000,TO LAND,007,False,26,11200542,1330,41.778864596,"{'type': 'Point', 'coordinates': [-87.6642029, 41.778864596]}",CONVENIENCE STORE,-87.6642029,CRIMINAL TRESPASS,2018-05-04T15:51:04.000,16,1166757,1862719,2018,6711001005
4,False,0712,062XX S MAY ST,JB142661,68,2018-02-06T04:10:00.000,FIRST DEGREE MURDER,007,False,01A,23812,0110,41.78082323,"{'type': 'Point', 'coordinates': [-87.653318937, 41.78082323]}",APARTMENT,-87.653318937,HOMICIDE,2018-02-13T15:58:53.000,16,1169720,1863456,2018,6806002020
5,False,0713,055XX S THROOP ST,JB114483,67,2018-01-13T01:17:00.000,SIMPLE,007,False,08B,11202826,0460,41.793075127,"{'type': 'Point', 'coordinates': [-87.657274619, 41.793075127]}",APARTMENT,-87.657274619,BATTERY,2018-05-04T15:51:04.000,16,1168606,1867912,2018,6701002006
6,False,0714,062XX S HONORE ST,JB117254,67,2018-01-12T21:00:00.000,SIMPLE,007,True,08A,11204937,0560,41.780277539,"{'type': 'Point', 'coordinates': [-87.670292749, 41.780277539]}",APARTMENT,-87.670292749,ASSAULT,2018-05-04T15:51:04.000,15,1165092,1863221,2018,6706002012
7,True,0715,056XX S MARSHFIELD AVE,JB117408,67,2018-01-15T19:35:00.000,POSS: CANNABIS 30GMS OR LESS,007,False,18,11205008,1811,41.791200801,"{'type': 'Point', 'coordinates': [-87.665724773, 41.791200801]}",APARTMENT,-87.665724773,NARCOTICS,2018-05-04T15:51:04.000,15,1166307,1867211,2018,6703001002
8,False,0725,063XX S JUSTINE ST,JB117699,67,2018-01-11T11:00:00.000,FORCIBLE ENTRY,007,False,05,11205226,0610,41.778813508,"{'type': 'Point', 'coordinates': [-87.662971552, 41.778813508]}",RESIDENCE,-87.662971552,BURGLARY,2018-05-04T15:51:04.000,16,1167093,1862703,2018,6711001005
9,False,0722,005XX W 68TH ST,JB158257,68,2018-02-20T01:06:00.000,FIRST DEGREE MURDER,007,False,01A,23833,0110,41.770767549,"{'type': 'Point', 'coordinates': [-87.637636355, 41.770767549]}",STREET,-87.637636355,HOMICIDE,2018-02-27T15:59:52.000,6,1174027,1859826,2018,6812003012
10,False,0724,011XX W 65TH ST,JB164227,68,2018-02-24T22:21:00.000,FIRST DEGREE MURDER,007,False,01A,23840,0110,41.77598207,"{'type': 'Point', 'coordinates': [-87.653744026, 41.77598207]}",STREET,-87.653744026,HOMICIDE,2018-03-03T15:54:43.000,16,1169618,1861691,2018,6810001008
