,arrest,beat,block,case_number,community_area,date,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year,c_tract
0,False,0732,070XX S NORMAL BLVD,JB108409,68,2017-12-28T00:00:00.000,CREDIT CARD FRAUD,007,False,11,11198217,1150,41.766417805,"{'type': 'Point', 'coordinates': [-87.637177497, 41.766417805]}",APARTMENT,-87.637177497,DECEPTIVE PRACTICE,2018-05-04T15:51:04.000,6,1174165,1858242,2017,6812002007
1,True,0712,056XX S GREEN ST,JA507458,68,2017-11-11T02:30:00.000,AGGRAVATED: OTHER DANG WEAPON,007,True,04B,11146097,0430,41.791975485,"{'type': 'Point', 'coordinates': [-87.64631068, 41.791975485]}",APARTMENT,-87.64631068,BATTERY,2018-02-13T15:56:09.000,20,1171599,1867535,2017,8347001007
2,True,0714,018XX W 63RD ST,JA487327,67,2017-10-26T17:49:00.000,CREDIT CARD FRAUD,007,False,11,11130697,1150,41.77937235,"{'type': 'Point', 'coordinates': [-87.669891444, 41.77937235]}",STREET,-87.669891444,DECEPTIVE PRACTICE,2018-03-02T15:52:43.000,15,1165204,1862892,2017,6706002015
3,False,0733,070XX S MAY ST,JA188954,68,2017-03-16T10:15:00.000,OTHER,007,False,17,10879955,1585,41.765971524,"{'type': 'Point', 'coordinates': [-87.652925956, 41.765971524]}","SCHOOL, PUBLIC, GROUNDS",-87.652925956,SEX OFFENSE,2018-02-17T15:55:23.000,17,1169870,1858045,2017,6811005015
4,False,0711,003XX W 57TH ST,JA378987,68,2017-08-05T23:19:00.000,FIRST DEGREE MURDER,007,False,01A,23494,0110,41.790852449,"{'type': 'Point', 'coordinates': [-87.634379287, 41.790852449]}",AUTO,-87.634379287,HOMICIDE,2017-08-12T15:49:53.000,3,1174856,1867152,2017,8346004013
5,True,0722,065XX S NORMAL BLVD,JA183128,68,2017-03-11T09:10:00.000,TO VEHICLE,007,False,14,10874949,1320,41.774901276,"{'type': 'Point', 'coordinates': [-87.6368658, 41.774901276]}",PARKING LOT/GARAGE(NON.RESID.),-87.6368658,CRIMINAL DAMAGE,2018-03-07T16:09:55.000,20,1174225,1861334,2017,6809001027
6,True,0722,065XX S NORMAL BLVD,JA183479,68,2017-03-11T13:30:00.000,TO VEHICLE,007,False,14,10875190,1320,41.774901276,"{'type': 'Point', 'coordinates': [-87.6368658, 41.774901276]}",PARKING LOT/GARAGE(NON.RESID.),-87.6368658,CRIMINAL DAMAGE,2018-03-07T16:09:55.000,20,1174225,1861334,2017,6809001027
7,True,0726,066XX S HOYNE AVE,JA478319,67,2017-10-20T04:00:00.000,AGGRAVATED: KNIFE/CUT INSTR,007,False,02,11124030,0263,41.773129529,"{'type': 'Point', 'coordinates': [-87.676176953, 41.773129529]}",RESIDENCE,-87.676176953,CRIM SEXUAL ASSAULT,2018-08-03T16:10:56.000,15,1163507,1860604,2017,6714001026
8,True,0713,060XX S THROOP ST,JA305948,67,2017-06-14T00:40:00.000,AGGRAVATED: HANDGUN,007,False,04B,10980656,041A,41.784075265,"{'type': 'Point', 'coordinates': [-87.657046511, 41.784075265]}",SIDEWALK,-87.657046511,BATTERY,2018-03-12T15:47:53.000,16,1168694,1864633,2017,6709002004
9,True,0735,069XX S ASHLAND AVE,JA540523,67,2017-12-07T14:40:00.000,FROM BUILDING,007,False,06,11171289,0890,41.767726292,"{'type': 'Point', 'coordinates': [-87.663867778, 41.767726292]}",RESTAURANT,-87.663867778,THEFT,2018-03-12T15:47:53.000,17,1166880,1858661,2017,6715003020
10,True,0732,004XX W 71ST ST,JA534445,68,2017-12-02T23:40:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,11166708,0486,41.765331355,"{'type': 'Point', 'coordinates': [-87.63632051, 41.765331355]}",RESIDENCE,-87.63632051,BATTERY,2018-03-13T15:50:05.000,6,1174402,1857848,2017,6812002009
11,True,0726,021XX W 68TH PL,JA481773,67,2017-10-22T18:12:00.000,UNLAWFUL POSS OF HANDGUN,007,False,15,11126598,143A,41.769315054,"{'type': 'Point', 'coordinates': [-87.676674106, 41.769315054]}",RESIDENCE,-87.676674106,WEAPONS VIOLATION,2018-03-14T15:52:44.000,17,1163382,1859213,2017,6714002020
12,True,0723,066XX S HALSTED ST,JA340303,68,2017-07-08T23:29:00.000,FIRST DEGREE MURDER,007,False,01A,23430,0110,41.772972076,"{'type': 'Point', 'coordinates': [-87.644610871, 41.772972076]}",GAS STATION,-87.644610871,HOMICIDE,2017-08-18T15:49:02.000,6,1172118,1860614,2017,6810002011
